Qual sua formação acadêmica?,Com que frequência você realiza trabalhos acadêmicos?,Quais dos seguintes ambientes você utiliza na edição de seus trabalhos?,Quais dos seguintes problemas você possui no momento da edição de trabalhos acadêmicos?,Quais destas opções você gostaria que uma ferramenta de edição fornecesse como ajuda na edição de um trabalho acadêmico?
Ensino Superior Incompleto,Moderada,Google Docs;Word,Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar referências,Modelo de documentos;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio;Gerador de Sumário;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Moderada,Word,Criar referências;Fazer citações,Gerador de Referências;Sugestões de erros;Instruções para citações;Verificação de plágio
Ensino Superior Completo,Nenhuma,Google Docs;Word;Power point,Fazer citações,Gerador de Referências;Instruções para citações;Verificação de plágio
Ensino Superior Incompleto,Moderada,Google Docs;Word,Criação de lista de figuras;Fazer citações;Criar tabelas;Não compreender a ferramenta,Modelo de documentos;Tutorial interativo da Ferramenta;Sugestões de erros;Instruções para citações;Verificação de plágio;Gerador de Sumário;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Pouca,Google Docs;Word,Numeração de páginas;Criar referências;Fazer citações,Instruções para citações;Compartilhar documento com o orientador;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Numeração de páginas;Criar referências;Fazer citações,Gerador de Referências;Instruções para citações;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Sumário
Ensino Superior Completo,Intensa,Google Docs;Word,Criar referências,Gerador de Referências;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Gerador de Tabela de Siglas
Ensino Superior Incompleto,Moderada,Google Docs;Word;Libre Office,Criação de sumários,Criação automática de sumários
Ensino Médio Completo,Moderada,Google Docs;Word,Criação de lista de figuras;Numeração de páginas,Modelo de documentos;Sugestões de erros;Dicas de formatação;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Pós-Graduação,Moderada,Word,Criação de sumários;Criação de lista de figuras;Numeração de páginas,Modelo de documentos;Gerador de Referências;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio
Ensino Médio Completo,Moderada,Google Docs;Word;Libre Office;OneNote,Criação de sumários;Numeração de páginas;Fazer citações,Modelo de documentos;Instruções para citações;Criação automática de sumários
Ensino Superior Incompleto,Pouca,Google Docs,Criação de sumários;Numeração de páginas,Gerador de Referências;Sugestões de erros;Criação automática de sumários
Ensino Superior Incompleto,Moderada,Google Docs;Word;Libre Office,Numeração de páginas;Alinhamento do texto,Instruções para citações;Gerador de Gráficos;Criação automática de sumários
Ensino Superior Incompleto,Moderada,Google Docs;Word,Criação de sumários;Criação de lista de figuras,Sugestões de erros;Dicas de formatação;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs,Criação de sumários;Numeração de páginas,Modelo de documentos;Gerador de Referências;Instruções para citações;Criação automática de sumários;Verificação de plágio
Pós-Graduação,Moderada,Google Docs;Word,Criação de lista de figuras;Numeração de páginas;Criar referências;Fazer citações,Gerador de Referências;Sugestões de erros;Instruções para citações;Compartilhar documento com o orientador;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Moderada,Google Docs;Word,Criar referências;Fazer citações,Tutorial interativo da Ferramenta;Sugestões de erros;Instruções para citações;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio
Ensino Superior Completo,Nenhuma,Google Docs;Word,Não sei ,Verificação de plágio
Ensino Superior Completo,Nenhuma,Google Docs;Word,Fazer citações,Gerador de Referências;Gerador de Gráficos
Ensino Superior Incompleto,Moderada,Google Docs;Latex,Procurar um modelo de documento,Modelo de documentos
Ensino Superior Completo,Intensa,Google Docs;Word,Criação de sumários;Numeração de páginas;Fazer citações,Instruções para citações;Criação automática de sumários;Verificação de plágio
Ensino Superior Completo,Pouca,Google Docs;Word;Libre Office,Criação de sumários;Numeração de páginas;Alinhamento do texto;Criar referências,Gerador de Referências;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Pouca,Word,Criação de sumários;Numeração de páginas,Dicas de formatação;Instruções para citações;Verificação de plágio
Pós-Graduação,Moderada,Word,Criar tabelas,Gerador de Referências;Compartilhar documento com o orientador;Verificação de plágio
Ensino Superior Incompleto,Pouca,Word,Criação de sumários,Dicas de formatação;Instruções para citações;Criação automática de sumários
Ensino Superior Completo,Intensa,Google Docs;Word;Libre Office;FastFormat;Quip;Zoho;Only Office;PowerPoint,Nenhuma das opções,Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Instruções para citações;Compartilhar documento com o orientador;Verificação de plágio
Pós-Graduação,Intensa,Latex,Criação de template qdo ainda não existe pronto,Verificação de plágio
Ensino Superior Incompleto,Pouca,Google Docs;Word,Fazer citações,Gerador de Referências;Sugestões de erros;Dicas de formatação;Verificação de plágio
Ensino Superior Incompleto,Pouca,Google Docs;Word,Criação de sumários;Numeração de páginas;Criar tabelas,Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar tabelas,Gerador de Referências;Gerador de Gráficos;Criação automática de sumários
Ensino Superior Incompleto,Pouca,Google Docs,Espaçamento do texto;Alinhamento do texto;Criar referências;Fazer citações,Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Verificação de plágio;Gerador de Tabela de Siglas
Ensino Superior Incompleto,Moderada,Google Docs;Word;Libre Office,Criação de sumários;Numeração de páginas,Sugestões de erros;Criação automática de sumários
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Criar tabelas;Não compreender a ferramenta,Sugestões de erros;Instruções para citações;Gerador de Gráficos;Verificação de plágio
Ensino Superior Incompleto,Moderada,Google Docs;Word,Fazer citações,Sugestões de erros;Dicas de formatação;Verificação de plágio
Ensino Médio Completo,Intensa,Google Docs;Word;Libre Office;Planilhas google/ excel,Fazer citações;Não compreender a ferramenta,Modelo de documentos;Dicas de formatação;Instruções para citações
Ensino Superior Incompleto,Moderada,Word,Criar referências;Fazer citações,Gerador de Referências;Instruções para citações;Criação automática de sumários
Ensino Superior Incompleto,Moderada,Google Docs;Word;Libre Office,Criação de sumários;Criação de lista de figuras;Criar referências;Fazer citações,Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Criação automática de sumários;Gerador de Tabela de Siglas
Ensino Superior Incompleto,Intensa,Google Docs;Word;Libre Office,Criação de lista de figuras;Criar referências,Gerador de Referências;Dicas de formatação;Criação automática de sumários;Verificação de plágio
Pós-Graduação,Intensa,Google Docs;Word;Latex,Criar referências;depende da ferramenta a ser utilizada e meu nível de conhecimento, mas consideremo mais chato fazer isso em ferramentas como google docs e word.,Gerador de Referências;Compartilhar documento com o orientador;Verificação de plágio
Ensino Superior Incompleto,Pouca,Word,Fazer citações,Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Word;Libre Office,Criação de lista de figuras;Numeração de páginas;Criar referências;Fazer citações,Gerador de Referências;Dicas de formatação;Instruções para citações;Verificação de plágio
Ensino Superior Incompleto,Pouca,Google Docs;Word,Escrita do texto,Sugestões de erros;Verificação de plágio;Gerador de Tabela de Siglas
Ensino Superior Incompleto,Moderada,Word;Libre Office,Criação de sumários;Numeração de páginas;Espaçamento do texto;Alinhamento do texto,Dicas de formatação
Ensino Superior Completo,Pouca,Google Docs;Word,Criação de lista de figuras;Criar referências;Fazer citações,Tutorial interativo da Ferramenta;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Intensa,Word,Numeração de páginas;Criar referências;Fazer citações,Gerador de Referências;Sugestões de erros;Instruções para citações;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Intensa,Word,Não compreender a ferramenta,Tutorial interativo da Ferramenta
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Criação de lista de figuras;Numeração de páginas;Espaçamento do texto;Alinhamento do texto,Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Fundamental Completo,Pouca,Bloco de notas,Começar o trabalho,Entregar o trabalho pronto
Ensino Superior Incompleto,Moderada,Word,Criação de sumários,Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Moderada,Google Docs;Word,Numeração de páginas;Fazer citações,Modelo de documentos;Instruções para citações;Verificação de plágio
Ensino Superior Incompleto,Intensa,Word,Criação de sumários;Criação de lista de figuras;Fazer citações,Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Moderada,Word;Only Office,Criação de lista de figuras;Criar referências;Fazer citações;Criar tabelas,Modelo de documentos;Gerador de Referências;Instruções para citações;Criação automática de sumários;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Intensa,Google Docs,Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar tabelas,Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Gerador de Gráficos;Criação automática de sumários
Ensino Superior Incompleto,Moderada,Google Docs;Word;Latex,Numeração de páginas;Não compreender a ferramenta;Difícil configuração da ferramenta para as normas que exigem do trabalho,Modelo de documentos;Gerador de Referências;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Pouca,Google Docs;Word,Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar referências,Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Criação automática de sumários;Verificação de plágio;Verificador de plágio......seria meu sonho???
Pós-Graduação,Moderada,Latex,Certas dificuldades em ajustar um layout em Latex de uma determinada conferência ou instituição de ensino.,Verificação de plágio
Ensino Superior Incompleto,Intensa,Word,Fazer citações,Modelo de documentos;Gerador de Referências;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Verificação de plágio
Ensino Superior Incompleto,Intensa,Word,Criação de sumários;Numeração de páginas;Fazer citações,Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Libre Office,Criar referências;Fazer citações;Criar tabelas,Gerador de Referências;Instruções para citações;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Moderada,Google Docs;Word,Criação de sumários;Criar tabelas,Sugestões de erros;Dicas de formatação
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Numeração de páginas;Não compreender a ferramenta,Modelo de documentos;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Criação automática de sumários;Verificação de plágio
Ensino Médio Completo,Intensa,Google Docs;Word,Criação de sumários;Criação de lista de figuras;Numeração de páginas,Modelo de documentos;Dicas de formatação;Criação automática de sumários;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Moderada,Google Docs;Word,Nenhuma das opções,Verificação de plágio
Ensino Superior Incompleto,Pouca,Word,Numeração de páginas;Criar referências;Fazer citações;Não compreender a ferramenta,Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Numeração de páginas;Criar referências;Criar tabelas,Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários,Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Criação de lista de figuras;Criar referências;Fazer citações,Tutorial interativo da Ferramenta;Dicas de formatação;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Pouca,Word,Criar referências;Fazer citações,Instruções para citações
Ensino Superior Incompleto,Intensa,Google Docs;Word,Criação de sumários;Fazer citações,Sugestões de erros;Instruções para citações;Criação automática de sumários;Verificação de plágio
Ensino Superior Incompleto,Intensa,Google Docs;Word;Libre Office;Only Office,Criação de sumários;Criação de lista de figuras;Numeração de páginas;Espaçamento do texto;Criar referências;Fazer citações;Não compreender a ferramenta,Modelo de documentos;Tutorial interativo da Ferramenta;Verificação de plágio
Ensino Superior Incompleto,Pouca,Word,Um pocuo de cada,um pouco de cada